inn,класс,год_дела,стадия,вес,okved,окопф,выручка,автономия,ликвидность,падение_выручки,ча_отрицательные_2года,убыток_2года,флаги
0101006721,выжил,,,9.81767,47.1,12300,13970,0.863916,7.28387,0.112114,False,False,
0104003180,выжил,,,9.81767,02.20,12300,1388,0.5076,,0.38008,False,False,
0107022399,банкрот,2022,ProceedingsStopped,1,,12300,,-0.113381,,,True,True,коэффициент_автономии;убыток_2года;ча_отрицательные_2года
0107022688,выжил,,,9.81767,,12300,11133,-1.37079,0.421801,,True,False,коэффициент_автономии;текущая_ликвидность;ча_отрицательные_2года
0107028182,выжил,,,9.81767,86.21,12300,8319,0.951526,,-0.860658,False,False,
0201007609,выжил,,,9.81767,41.20,12300,73573,0.116179,1.13145,-0.512572,False,False,
0229005993,выжил,,,9.81767,68.32.2,20701,,,,,,False,
0234009168,выжил,,,9.81767,49.41,12300,8605,0.0744875,1.02037,,False,False,коэффициент_автономии
0242008859,выжил,,,9.81767,47.25,12165,11644,0.860256,,0.115668,False,False,
0245965447,выжил,,,9.81767,71.20.5,12300,98,-24.3333,,,,False,коэффициент_автономии
0247003950,выжил,,,9.81767,03.22.3,12300,630,0.966916,22.876,0.625891,False,False,падение_выручки
0251007241,выжил,,,9.81767,03.22,15300,,,,,False,,
0256024459,выжил,,,9.81767,46.75,12300,,0.0775888,,,False,True,коэффициент_автономии;убыток_2года
0258950832,выжил,,,9.81767,71.12.7,12300,99,0,,0.764286,False,False,коэффициент_автономии;падение_выручки
0259012927,выжил,,,9.81767,79.11,12300,318,1,,-10.7778,False,False,
0261045528,выжил,,,9.81767,93.19,12300,,1,,,False,,
0264050597,выжил,,,9.81767,69.10,12300,246,0.632818,,-0.00819672,False,True,убыток_2года
0264069982,выжил,,,9.81767,,12300,6706,0.250564,,-0.381826,False,False,
0265024448,выжил,,,9.81767,42.21,12300,0,,,,False,,
0265030635,выжил,,,9.81767,,12300,2091,1,,-11.3,False,False,
0265037630,выжил,,,9.81767,47.25,12300,6368,0.909213,11.0148,0.307073,False,False,
0265049548,выжил,,,9.81767,95.12,12300,284,0.183007,,,False,False,
0265051297,выжил,,,9.81767,69.10,12300,240,1,,,False,False,
0266028639,выжил,,,9.81767,,12300,23474,0.984422,,-0.0947673,False,False,
0266034216,выжил,,,9.81767,46.71,12300,350589,0.00280051,1.00281,0.533688,False,False,коэффициент_автономии;падение_выручки
0266051268,банкрот,2023,Watching,1,,12300,676565,0.0675236,0.97331,0.0894207,False,False,коэффициент_автономии;текущая_ликвидность
0268049987,выжил,,,9.81767,,12300,7988,0.951551,20.6401,0.28049,False,False,
0268073108,выжил,,,9.81767,43.29,12300,398,0.122502,,0.824901,False,False,падение_выручки
0268093841,выжил,,,9.81767,,12300,500,0.56391,7.38889,,False,False,
0270020008,выжил,,,9.81767,79.11,12165,5298,0.71042,,-0.518487,False,False,
0270020311,выжил,,,9.81767,69.20,12165,606,0.0851064,,0.184388,False,False,коэффициент_автономии
0272020162,выжил,,,9.81767,68.32.2,12300,11811,0.427231,,-0.196172,False,False,
0272023903,банкрот,2023,Tender,1,68.10.21,13000,1700,2.79054e-05,1.01623,0.925219,False,False,коэффициент_автономии;падение_выручки
0272914530,выжил,,,9.81767,41.20,12300,,,,,False,,
0273003723,выжил,,,9.81767,68.20.2,12300,305,0.999447,1673.78,0.632972,False,False,падение_выручки
0273032844,выжил,,,9.81767,46.75.2,12300,91115,0.6989,,-1.22819,False,False,
0273055062,выжил,,,9.81767,49.4,12165,8339,0.208159,0.854215,0.738047,False,False,падение_выручки;текущая_ликвидность
0273076640,выжил,,,9.81767,47.2,12165,4593,0.173584,1.20306,-2.47955,False,False,
0273084465,выжил,,,9.81767,,12300,146824,0.535652,2.15356,-0.570562,False,False,
0273911637,выжил,,,9.81767,41.20,12300,18497,0.320194,1.47101,-0.974066,False,False,
0273912454,выжил,,,9.81767,30.12,12300,69031,0.518329,2.003,-0.151169,False,False,
0273943491,выжил,,,9.81767,41.20,12300,5674,0.0584399,,,,False,коэффициент_автономии
0274072293,выжил,,,9.81767,46.66,12300,517,0.208974,,0.343075,False,False,
0274908080,выжил,,,9.81767,80.10,12300,,1,,,False,False,
0274925505,выжил,,,9.81767,46.38.2,12300,52034,0.0277684,,-0.375906,False,False,коэффициент_автономии
0274932742,выжил,,,9.81767,49.41,19000,,,0,,True,,текущая_ликвидность;ча_отрицательные_2года
0274962842,выжил,,,9.81767,56.10,12300,4723,-0.81071,0.55227,,False,False,коэффициент_автономии;текущая_ликвидность
0274970096,выжил,,,9.81767,,12300,,1,,,,,
0275076935,выжил,,,9.81767,62.02,12300,8371,0.0412777,,0.133706,False,False,коэффициент_автономии
0275902035,выжил,,,9.81767,95.12,12300,19054,0.728916,3.68889,0.00682825,False,False,
0275912682,выжил,,,9.81767,70.22,12300,57354,0.857407,7.01295,-11.3741,False,False,
0276003577,выжил,,,9.81767,41.20,12300,11144,0.10594,1.118,0.6243,False,False,падение_выручки
0276059530,выжил,,,9.81767,46.75.2,12300,18227,0.608264,1.39241,-0.0665301,False,False,
0276097166,выжил,,,9.81767,43.91,12300,,1,,,False,,
0276133128,выжил,,,9.81767,,12300,7808,0.0127893,,-0.833725,False,False,коэффициент_автономии
0276141295,выжил,,,9.81767,,12300,75527,0.763224,,-0.15713,False,False,
0276918856,выжил,,,9.81767,,12300,107114,0.0389877,1.28387,-0.542296,False,False,коэффициент_автономии
0276924360,выжил,,,9.81767,69.10,12300,,0.750611,,,False,,
0276944817,банкрот,2022,ProceedingsFinished,1,47.11,12300,0,-0.400657,0.098686,1,True,True,коэффициент_автономии;падение_выручки;текущая_ликвидность;убыток_2года;ча_отрицательные_2года
0276961040,выжил,,,9.81767,43.29,12300,5665,0.0940834,1.10445,,False,False,коэффициент_автономии
0277081360,выжил,,,9.81767,,12165,1.8275e+06,0.383072,1.61325,-0.616817,False,False,
0277125634,выжил,,,9.81767,,12100,,1,,,False,False,
0278122202,выжил,,,9.81767,41.20,12300,125002,0.0521376,1.15733,-1.42233,False,False,коэффициент_автономии
0278204840,выжил,,,9.81767,77.32,12300,,-3.46109,7.33236,,True,,коэффициент_автономии;ча_отрицательные_2года
0278905845,выжил,,,9.81767,49.3,12300,4.89151e+06,0.030303,,-4140.83,False,True,коэффициент_автономии;убыток_2года
0278906951,выжил,,,9.81767,85.42.9,71400,12053,0.708308,2.84016,0.0554075,False,False,
0278911510,выжил,,,9.81767,56.10,12300,3464,1,,0.505919,False,False,падение_выручки
0278911616,выжил,,,9.81767,43.91,12165,0,0.950415,,1,False,False,падение_выручки
0278914984,выжил,,,9.81767,47.7,12300,348,0.99847,,0.951261,False,False,падение_выручки
0278938223,выжил,,,9.81767,43.22,12300,84454,0.0234213,1.01403,-0.511048,False,False,коэффициент_автономии
0278942163,выжил,,,9.81767,10.85,12300,187746,0.302774,1.59847,-0.41033,False,False,
0278950630,выжил,,,9.81767,68.20,12300,2872,0.999447,12.3019,-0.221088,False,True,убыток_2года
0278957963,выжил,,,9.81767,47.19.2,20100,,,,,,,
0278992407,выжил,,,9.81767,88.10,71400,,,,,,,
0309005188,выжил,,,9.81767,85.21,75201,30143,,1.17068,0.0803332,,False,
0312009584,банкрот,2023,Tender,1,,12300,0,-0.00703993,,1,True,True,коэффициент_автономии;падение_выручки;убыток_2года;ча_отрицательные_2года
0315990182,выжил,,,9.81767,,12300,,,,,,,
0323363883,выжил,,,9.81767,,12300,6895,1,,0.0396936,False,False,
